US10adam001,40.568008,-98.506483,Juniata,NE
US10adam002,40.509783,-98.548923,JUNIATA,NE
US10adam003,40.466267,-98.65339,Cottonwood,NE
US10adam004,40.479757,-98.401914,AYR,NE
US10adam006,40.437226,-98.591253,ROSELAND,NE
US10adam007,40.539043,-98.470826,HASTINGS,NE
US10adam008,40.495396,-98.297034,GLENVIL,NE
US10adam010,40.553088,-98.629318,Wanda,NE
US10adam011,40.408159,-98.616422,ROSELAND,NE
US10adam012,40.620267,-98.389274,HASTINGS,NE
US10adam013,40.658692,-98.420295,HASTINGS,NE
US10adam015,40.625655,-98.705268,Kenesaw,NE
US10adam016,40.63966,-98.395301,HASTINGS,NE
US10adam017,40.657406,-98.477416,HASTINGS,NE
US10adam019,40.611375,-98.554265,JUNIATA,NE
US10adam022,40.594271,-98.429671,HASTINGS,NE
US10adam023,40.598482,-98.472407,JUNIATA,NE
US10adam024,40.393842,-98.268899,GLENVIL,NE
US10adam025,40.600681,-98.398084,HASTINGS,NE
US10adam027,40.599867,-98.472504,JUNIATA,NE
US10adam028,40.465271,-98.651386,HOLSTEIN,NE
US10adam029,40.553377,-98.317368,HASTINGS,NE
US10adam032,40.357654,-98.420428,BLUE HILL,NE
US10adam033,40.412649,-98.353796,GLENVIL,NE
US10adam034,40.613042,-98.648145,KENESAW,NE
US10adam035,40.60742,-98.458805,JUNIATA,NE
US10adam036,40.560816,-98.401944,HASTINGS,NE
US10adam039,40.601942,-98.404687,HASTINGS,NE
US10adam041,40.433975,-98.439825,AYR,NE
US10adam043,40.591702,-98.509179,JUNIATA,NE
US10adam045,40.611036,-98.388343,HASTINGS,NE
US10adam046,40.544538,-98.420822,HASTINGS,NE
US10adam047,40.591422,-98.429142,HASTINGS,NE
US10adam051,40.416594,-98.534139,ROSELAND,NE
US10adam056,40.579998,-98.371655,HASTINGS,NE
US10ante003,42.337178,-98.240583,Orchard,NE
US10arth002,41.388176,-101.394623,Paxton Election Precinct,NE
US10bann001,41.660275,-103.623827,Northeast,NE
US10bann005,41.63996,-103.954237,HARRISBURG,NE
US10bann006,41.559167,-103.740448,Harrisburg,NE
US10bann007,41.487689,-103.763993,Northeast,NE
US10bann008,41.636421,-103.685272,Northeast,NE
US10bann009,41.679513,-103.686044,HARRISBURG,NE
US10blai001,41.91369,-99.964166,DUNNING,NE
US10blai003,41.739841,-100.270344,DUNNING,NE
US10blai004,41.90384,-100.266035,Halsey,NE
US10blai005,42.028423,-100.140208,Purdum,NE
US10blai006,42.070285,-100.091478,PURDUM,NE
US10blai008,41.80349,-100.218054,DUNNING,NE
US10blai010,41.928812,-99.744507,BREWSTER,NE
US10blai011,41.884764,-100.170586,DUNNING,NE
US10blai012,41.818961,-100.106598,DUNNING,NE
US10boon002,41.524534,-97.993366,SAINT EDWARD,NE
US10boon003,41.755694,-98.234165,ALBION,NE
US10boon004,41.683225,-97.990105,ALBION,NE
US10boon005,41.640233,-97.995654,ALBION,NE
US10boon006,41.502036,-98.157684,CEDAR RAPIDS,NE
US10boon007,41.866052,-98.230432,PETERSBURG,NE
US10boon008,41.627063,-98.238268,PRIMROSE,NE
US10boon009,41.669975,-97.89422,ALBION,NE
US10boon010,41.668553,-98.11612,ALBION,NE
US10boon011,41.850309,-98.045722,PETERSBURG,NE
US10box_001,42.191115,-102.951482,Alliance,NE
US10box_003,42.017123,-103.000183,ALLIANCE,NE
US10box_004,42.148826,-102.748325,ALLIANCE,NE
US10box_005,42.319515,-103.070687,HEMINGFORD,NE
